name,source_schema,source_table,snapshot_target_schema,snapshot_target_name,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
SAP_T710S_PRE,edw_prd,SAP_T710S_PRE,nzmigration,SAP_T710S_PRE,1=1,qa_raw,SAP_T710S_PRE,MANDT|SCODE|JCODE|ENDDA,,
SAP_T77TMC_ACC_TYPT_PRE,edw_prd,SAP_T77TMC_ACC_TYPT_PRE,nzmigration,SAP_T77TMC_ACC_TYPT_PRE,1=1,qa_raw,SAP_T77TMC_ACC_TYPT_PRE,MANDT|LANGU|ACCOMPL_TYPE,,
SAP_T77TMC_DEGREE_T_PRE,edw_prd,SAP_T77TMC_DEGREE_T_PRE,nzmigration,SAP_T77TMC_DEGREE_T_PRE,1=1,qa_raw,SAP_T77TMC_DEGREE_T_PRE,MANDT|LANGU|DEGREE_LEVEL,,
SAP_T77TMC_EDUFLD_T_PRE,edw_prd,SAP_T77TMC_EDUFLD_T_PRE,nzmigration,SAP_T77TMC_EDUFLD_T_PRE,1=1,qa_raw,SAP_T77TMC_EDUFLD_T_PRE,MANDT|LANGU|EDU_FIELD,,
SAP_T77TMC_EDUTYP_T_PRE,edw_prd,SAP_T77TMC_EDUTYP_T_PRE,nzmigration,SAP_T77TMC_EDUTYP_T_PRE,1=1,qa_raw,SAP_T77TMC_EDUTYP_T_PRE,MANDT|LANGU|EDU_TYPE,,
SITE_PROFILE,edw_prd,SITE_PROFILE,nzmigration,SITE_PROFILE,1=1,qa_legacy,SITE_PROFILE,LOCATION_ID,,
STORE_DEPT,edw_prd,STORE_DEPT,nzmigration,STORE_DEPT,1=1,qa_legacy,STORE_DEPT,STORE_DEPT_NBR,,
TERMINATION_REASON,edw_prd,TERMINATION_REASON,nzmigration,TERMINATION_REASON,1=1,qa_legacy,TERMINATION_REASON,TERM_REASON_CD,,
SAP_EMPLOYEE_DEL,,SAP_EMPLOYEE_DEL,nzmigration,SAP_EMPLOYEE_DEL,1=1,qa_legacy,SAP_EMPLOYEE_DEL,,,
COMPANY,edw_prd,COMPANY,nzmigration,COMPANY,1=1,qa_legacy,COMPANY,COMPANY_ID,,
EMPL_CATEGORY,edw_prd,EMPL_CATEGORY,nzmigration,EMPL_CATEGORY,1=1,qa_legacy,EMPL_CATEGORY,EMPL_CATEGORY_CD,,
EMPL_EARNINGS_WK,edw_prd,EMPL_EARNINGS_WK,data_harness_empl_protected,EMPL_EARNINGS_WK,1=1,qa_empl_protected,legacy_EMPL_EARNINGS_WK,WEEK_DT|EMPLOYEE_ID|WORK_COST_CENTER_CD|EARN_ID,,
EMPLOYEE_STATUS,edw_prd,EMPLOYEE_STATUS,nzmigration,EMPLOYEE_STATUS,1=1,qa_legacy,EMPLOYEE_STATUS,EMPL_STATUS_CD,,
EMPLOYEE_TYPE,edw_prd,EMPLOYEE_TYPE,nzmigration,EMPLOYEE_TYPE,1=1,qa_legacy,EMPLOYEE_TYPE,EMPL_TYPE_CD,,
GENDER,edw_prd,GENDER,nzmigration,GENDER,1=1,qa_legacy,GENDER,GENDER_CD,,
PS_COMP_FREQ,edw_prd,PS_COMP_FREQ,nzmigration,PS_COMP_FREQ,1=1,qa_legacy,PS_COMP_FREQ,PS_COMP_FREQ_CD,,
PS_MARITAL_STATUS,edw_prd,PS_MARITAL_STATUS,nzmigration,PS_MARITAL_STATUS,1=1,qa_legacy,PS_MARITAL_STATUS,PS_MARITAL_STATUS_CD,,
