#,SUBJECT_AREA,WORKFLOW_NAME,other_workflows,Target Schema,Workflow Base Target Table,DL  Schema
1136,BA_Store_Ops,wf_STORE_DAY_SALES_CAPTAIN_Non_Regular_Stores_nz,wf_STORE_DAY_SALES_CAPTAIN_Non_Regular_Stores_nz; wf_STORE_DAY_SALES_CAPTAIN_Regular_Stores_nz,legacy,STORE_DAY_SALES_CAPTAIN,
1138,BA_Demand_Planning,wf_Store_Fill_Rate,,legacy,STORE_FILL_RATE,
1139,BA_Demand_Planning,wf_Store_Fill_Rate,,legacy,WM_2009_PO_ORDER_DTL,
1140,BA_Demand_Planning,wf_Store_Fill_Rate,,legacy,WM_2018_PO_ORDER_DTL,
1142,BA_Dimension,wf_store_parameters,,legacy,NON_DISCOUNT_UPC,
1143,BA_Dimension,wf_store_parameters,,legacy,STORE_TAX_RATE,
1144,BA_Dimension,wf_store_parameters,,legacy,STORE_TIME_ZONE,
1145,BA_Plan,wf_StorePlan_Exch_Rate_Daily_UPD,,legacy,PLAN_CAT_DISCOUNT,
1146,BA_Plan,wf_StorePlan_Exch_Rate_Daily_UPD,,legacy,PLAN_CAT_SALES,
1147,BA_Plan,wf_StorePlan_Exch_Rate_Daily_UPD,,legacy,PLAN_DEPT_INV,
1149,BA_StoreOps,wf_StoreSurveyApp,,legacy,DOG_SURVEY_RESPONSE,
1150,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_ANSWER_TYPE,
1151,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_ANSWER_VALUE,
1152,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_BUS_AREA,
1153,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_QUES_ANS_STATEMENT_REL,
1154,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_QUESTION_TYPE,
1155,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY,
1156,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_ANSWERS,
1157,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_NOTES,
1158,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_QUESTIONS,
1159,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_SECTIONS,
1160,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_STATUS,
1161,BA_StoreOps,wf_StoreSurveyApp,,legacy,SSA_SURVEY_TYPE,
1163,BA_StoreOps,wf_SVCS_Plan_Units_Sales,,legacy,SVCS_PLAN_UNITS_EXCH_RATE,
