database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
cust_sensitive,refine_mao_fulfillment_pickup_confirmation,LAST_NAME,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment_pickup_confirmation,EMAIL,StringType,,Email Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_mao_fulfillment_pickup_confirmation,PHONE,StringType,,Star Mask,2022-10-22T16:59:16.361+0000,2022-10-22T16:59:16.361+0000,cwells,cwells
cust_sensitive,refine_aimia_transaction,primary_email_addr,StringType,null,Email Mask,2022-09-12T13:59:00.236+0000,2022-09-13T08:25:12.233+0000,rarroyo,rarroyo
empl_sensitive,refine_pods_employee,employee_nbr,StringType,null,Epin Mask,2022-10-20T12:42:51.327+0000,2022-10-20T12:42:51.327+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_transaction,primary_phe_nbr,StringType,null,Phone Mask,2022-09-12T13:59:00.236+0000,2022-09-13T08:25:12.233+0000,rarroyo,rarroyo
cust_sensitive,refine_mao_payment_method,GIFT_CARD_HOLDER_NAME,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,refine_aimia_member_details,account_phone_number,StringType,null,Phone Mask,2022-09-12T13:59:00.236+0000,2022-09-13T08:25:12.233+0000,rarroyo,rarroyo
cust_sensitive,refine_fedex_ca_shipping_package,SHIPPER_POSTAL_CODE,StringType,STREET_ADDRESS,Star Mask,2022-09-28T18:17:03.813+0000,2022-09-28T18:17:03.813+0000,Automated Script,Automated Script
cust_sensitive,refine_aimia_member_details,first_name,StringType,null,Star Mask,2022-09-12T13:59:00.236+0000,2022-09-12T13:59:00.236+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_member_details,address_line1,StringType,null,Star Mask,2022-09-12T13:59:00.236+0000,2022-09-12T13:59:00.236+0000,rarroyo,rarroyo
cust_sensitive,ENTERPRISE_DIGITAL_ORDER_PAYMENT_METHOD,GC_CUSTOMER_NM,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,refine_fedex_ca_shipping_package,RECIPIENT_NAME,StringType,PERSON_NAME,Star Mask,2022-09-28T18:17:07.865+0000,2022-09-28T18:17:07.865+0000,Automated Script,Automated Script
cust_sensitive,refine_aimia_member_details,mobile_phone_nbr,StringType,null,Phone Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_member_details,aimia_member_email_address,StringType,null,Email Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_reward_issued_cancelled,email_addr,StringType,null,Email Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_reward_issued_cancelled,mobile_phone_nbr,StringType,null,Phone Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_reward_issued_cancelled,first_nm,StringType,null,Star Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_reward_issued_cancelled,last_nm,StringType,null,Star Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_transaction,first_nm,StringType,null,Star Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_transaction,last_nm,StringType,null,Star Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_aimia_transaction,mobile_phone_nbr,StringType,null,Phone Mask,2022-09-01T11:03:00.638+0000,2022-09-12T09:00:32.262+0000,rarroyo,rarroyo
cust_sensitive,refine_ONLINE_SUBSCRIPTION,ONLN_SUBS_CUST_EMAIL,StringType,EMAIL_ADDRESS,Email Mask,2022-09-13T18:51:24.626+0000,2022-09-13T18:51:24.626+0000,Automated Script,Automated Script
